Unnamed: 0,gameId,matchId,gameVersion,gameDuration,teamVictory,team_100_gold,team_200_gold,Player_id,Player_1_ban,Player_1_pick,Player_1_ban_turn,Player_1_role,Player_1_team,Player_1_victory,Player_1_position,Player_1_time_game,Player_1_gold,Player_1_xp,Player_1_dmg_dealt,Player_1_dmg_taken,Player_1_time_ccing,Player_2_ban,Player_2_pick,Player_2_ban_turn,Player_2_role,Player_2_team,Player_2_victory,Player_2_position,Player_2_time_game,Player_2_gold,Player_2_xp,Player_2_dmg_dealt,Player_2_dmg_taken,Player_2_time_ccing,Player_3_ban,Player_3_pick,Player_3_ban_turn,Player_3_role,Player_3_team,Player_3_victory,Player_3_position,Player_3_time_game,Player_3_gold,Player_3_xp,Player_3_dmg_dealt,Player_3_dmg_taken,Player_3_time_ccing,Player_4_ban,Player_4_pick,Player_4_ban_turn,Player_4_role,Player_4_team,Player_4_victory,Player_4_position,Player_4_time_game,Player_4_gold,Player_4_xp,Player_4_dmg_dealt,Player_4_dmg_taken,Player_4_time_ccing,Player_5_ban,Player_5_pick,Player_5_ban_turn,Player_5_role,Player_5_team,Player_5_victory,Player_5_position,Player_5_time_game,Player_5_gold,Player_5_xp,Player_5_dmg_dealt,Player_5_dmg_taken,Player_5_time_ccing,Player_6_ban,Player_6_pick,Player_6_ban_turn,Player_6_role,Player_6_team,Player_6_victory,Player_6_position,Player_6_time_game,Player_6_gold,Player_6_xp,Player_6_dmg_dealt,Player_6_dmg_taken,Player_6_time_ccing,Player_7_ban,Player_7_pick,Player_7_ban_turn,Player_7_role,Player_7_team,Player_7_victory,Player_7_position,Player_7_time_game,Player_7_gold,Player_7_xp,Player_7_dmg_dealt,Player_7_dmg_taken,Player_7_time_ccing,Player_8_ban,Player_8_pick,Player_8_ban_turn,Player_8_role,Player_8_team,Player_8_victory,Player_8_position,Player_8_time_game,Player_8_gold,Player_8_xp,Player_8_dmg_dealt,Player_8_dmg_taken,Player_8_time_ccing,Player_9_ban,Player_9_pick,Player_9_ban_turn,Player_9_role,Player_9_team,Player_9_victory,Player_9_position,Player_9_time_game,Player_9_gold,Player_9_xp,Player_9_dmg_dealt,Player_9_dmg_taken,Player_9_time_ccing,Player_10_ban,Player_10_pick,Player_10_ban_turn,Player_10_role,Player_10_team,Player_10_victory,Player_10_position,Player_10_time_game,Player_10_gold,Player_10_xp,Player_10_dmg_dealt,Player_10_dmg_taken,Player_10_time_ccing
0,1269770875,LA1_1269770875,12.12.450.4196,1993,200,60655,67186,10,221,164,1,SOLO,100,0,TOP,1993,10432,15327,17818,27492,11,143,106,2,NONE,100,0,JUNGLE,1993,11364,13506,19306,34255,38,200,10,3,SOLO,100,0,MIDDLE,1993,16283,18907,34237,31900,10,234,202,4,CARRY,100,0,BOTTOM,1993,13243,15254,16106,14422,29,24,147,5,SUPPORT,100,0,UTILITY,1993,9333,12284,7455,14078,23,90,114,6,SOLO,200,1,TOP,1993,15315,17766,20487,32682,14,67,62,7,NONE,200,1,JUNGLE,1993,14415,16498,20658,36204,11,111,777,8,SOLO,200,1,MIDDLE,1993,16506,18032,31553,28482,34,221,29,9,CARRY,200,1,BOTTOM,1993,11738,13319,13472,21975,9,200,350,10,SUPPORT,200,1,UTILITY,1993,9212,14601,13104,9435,23
0,3165939609,EUN1_3165939609,12.12.450.4196,1046,200,26430,46204,10,62,44,1,DUO,100,0,TOP,1046,5512,6491,3551,16230,11,63,30,2,SUPPORT,100,0,JUNGLE,1046,5911,6772,15362,22837,9,28,238,3,SUPPORT,100,0,MIDDLE,1046,5854,7288,6440,8887,2,141,96,4,SUPPORT,100,0,BOTTOM,1046,4734,4635,9045,11283,1,122,16,5,SUPPORT,100,0,UTILITY,1046,4419,4431,3275,10763,27,350,41,6,SUPPORT,200,1,TOP,1046,8509,8816,7318,8148,5,117,154,7,SUPPORT,200,1,JUNGLE,1046,6670,7881,7152,16162,31,38,8,8,DUO,200,1,MIDDLE,1046,9242,10420,9079,10874,1,127,119,9,SUPPORT,200,1,BOTTOM,1046,14234,8736,30502,16222,8,266,40,10,SUPPORT,200,1,UTILITY,1046,7549,6772,5143,10107,36
0,5994616267,KR_5994616267,12.12.450.4196,1412,200,41260,49024,10,104,166,1,SOLO,100,0,TOP,1412,7434,10071,13522,13244,0,39,79,2,NONE,100,0,JUNGLE,1412,7060,8075,9434,22307,17,112,246,3,SOLO,100,0,MIDDLE,1412,10232,9980,16552,19048,11,429,110,4,CARRY,100,0,BOTTOM,1412,10355,9835,17774,15794,12,24,888,5,SUPPORT,100,0,UTILITY,1412,6179,7157,9497,16045,19,-1,114,6,DUO,200,1,TOP,1412,8506,12548,3696,15131,4,236,234,7,NONE,200,1,JUNGLE,1412,9001,10167,10956,23564,10,58,517,8,DUO,200,1,MIDDLE,1412,14699,13681,29652,24015,44,238,51,9,CARRY,200,1,BOTTOM,1412,10157,11215,9054,11007,8,429,111,10,SUPPORT,200,1,UTILITY,1412,6661,8741,5814,9683,46
0,396615031,RU_396615031,12.12.450.4196,1722,200,53755,56918,10,234,266,1,SOLO,100,0,TOP,1722,13614,13607,26778,35213,22,28,104,2,NONE,100,0,JUNGLE,1722,11174,11089,15442,21736,23,166,103,3,SOLO,100,0,MIDDLE,1722,10382,11863,24813,23319,34,55,221,4,CARRY,100,0,BOTTOM,1722,9335,9399,10868,19669,7,200,1,5,SUPPORT,100,0,UTILITY,1722,9250,8377,26062,17928,27,119,236,6,CARRY,200,1,BOTTOM,1722,13172,14216,13805,21296,1,112,9,7,NONE,200,1,JUNGLE,1722,11126,13466,16355,29038,44,62,8,8,SOLO,200,1,MIDDLE,1722,13938,14743,36171,44692,5,117,240,9,SOLO,200,1,TOP,1722,11260,14013,20422,33678,8,111,350,10,SUPPORT,200,1,UTILITY,1722,7422,11937,7655,10180,17
0,5985479520,KR_5985479520,12.12.448.6653,2080,200,57856,71503,10,7,497,1,SUPPORT,100,0,UTILITY,2080,8042,9976,7059,24532,26,221,238,2,NONE,100,0,JUNGLE,2080,11909,14192,25184,34131,10,111,68,3,DUO,100,0,MIDDLE,2080,11575,15344,32534,21539,17,163,81,4,CARRY,100,0,BOTTOM,2080,12686,15469,23385,21960,4,164,420,5,DUO,100,0,TOP,2080,13644,16696,24133,35388,7,53,83,6,SOLO,200,1,TOP,2080,14329,18319,23518,29092,7,103,76,7,NONE,200,1,JUNGLE,2080,13270,16766,20509,33860,3,888,42,8,SOLO,200,1,MIDDLE,2080,12410,15953,21701,28417,1,55,429,9,CARRY,200,1,BOTTOM,2080,20690,17680,32706,30267,15,111,37,10,SUPPORT,200,1,UTILITY,2080,10804,14777,11599,21464,24
0,1270658426,LA1_1270658426,12.12.450.4196,2082,100,71919,70934,10,62,266,1,DUO,100,1,TOP,2082,16299,18728,29483,50737,20,221,77,2,NONE,100,1,JUNGLE,2082,17184,19319,31451,49607,49,29,101,3,DUO,100,1,MIDDLE,2082,16102,17957,33609,15739,21,875,22,4,CARRY,100,1,BOTTOM,2082,13198,13569,18935,22743,44,106,111,5,SUPPORT,100,1,UTILITY,2082,9136,12765,10410,30331,62,141,39,6,DUO,200,0,TOP,2082,21349,23065,51232,52168,15,35,200,7,NONE,200,0,JUNGLE,2082,12767,14595,24540,42594,23,26,142,8,DUO,200,0,MIDDLE,2082,14217,15772,35420,26154,36,38,81,9,CARRY,200,0,BOTTOM,2082,12986,15286,22581,26210,0,62,350,10,SUPPORT,200,0,UTILITY,2082,9615,13426,10466,15056,21
0,1196995323,LA2_1196995323,12.12.450.4196,1647,100,59136,54369,10,238,10,1,SOLO,100,1,TOP,1647,11945,14986,8142,14491,4,106,91,2,NONE,100,1,JUNGLE,1647,11473,12897,16898,33692,8,86,103,3,SOLO,100,1,MIDDLE,1647,11119,13083,19302,22241,27,555,221,4,CARRY,100,1,BOTTOM,1647,13462,12369,23563,22857,12,119,99,5,SUPPORT,100,1,UTILITY,1647,11137,11912,22151,12886,61,157,41,6,SOLO,200,0,TOP,1647,12110,14648,20403,22664,10,67,245,7,NONE,200,0,JUNGLE,1647,9719,10907,14354,32209,18,122,147,8,SOLO,200,0,MIDDLE,1647,10268,14064,12964,13364,35,25,22,9,CARRY,200,0,BOTTOM,1647,14422,12357,23567,19630,58,107,111,10,SUPPORT,200,0,UTILITY,1647,7850,9773,7435,21856,60
0,4369310734,NA1_4369310734,12.12.450.4196,1265,100,44519,31184,10,238,98,1,SOLO,100,1,TOP,1265,7576,10437,10050,12967,20,200,131,2,NONE,100,1,JUNGLE,1265,12212,11888,20349,17053,15,119,80,3,SOLO,100,1,MIDDLE,1265,8766,9558,11848,7959,16,266,202,4,CARRY,100,1,BOTTOM,1265,9632,9316,10620,7120,16,114,40,5,SUPPORT,100,1,UTILITY,1265,6333,7057,3794,7573,36,-1,887,6,SOLO,200,0,TOP,1265,6767,8798,9850,20681,2,107,141,7,NONE,200,0,JUNGLE,1265,6233,7773,3733,22132,4,24,246,8,SOLO,200,0,MIDDLE,1265,6699,8824,5373,10632,9,221,145,9,CARRY,200,0,BOTTOM,1265,6827,7171,7437,13575,0,62,147,10,SUPPORT,200,0,UTILITY,1265,4658,5544,6471,10384,24
0,1267551765,LA1_1267551765,12.12.450.4196,2215,200,64648,79412,10,67,266,1,SOLO,100,0,TOP,2215,12941,14923,18267,45019,33,555,9,2,NONE,100,0,JUNGLE,2215,15551,15121,38242,40093,47,83,39,3,SOLO,100,0,MIDDLE,2215,14847,17765,19232,39803,21,76,30,4,CARRY,100,0,BOTTOM,2215,11657,13206,27085,21360,18,8,235,5,SUPPORT,100,0,UTILITY,2215,9652,13292,15008,25447,35,111,54,6,SOLO,200,1,TOP,2215,13714,19820,25041,33143,36,131,427,7,NONE,200,1,JUNGLE,2215,15087,19162,18060,23253,56,221,62,8,SOLO,200,1,MIDDLE,2215,16198,19175,33765,39132,19,777,29,9,CARRY,200,1,BOTTOM,2215,22389,19320,51666,39070,9,114,350,10,SUPPORT,200,1,UTILITY,2215,12024,18128,12857,8751,26
0,1313746835,TR1_1313746835,12.12.450.4196,1716,200,55635,68707,10,157,39,1,SOLO,100,0,TOP,1716,10120,14283,20339,32795,16,238,19,2,NONE,100,0,JUNGLE,1716,11462,13030,17388,45787,35,350,68,3,DUO,100,0,MIDDLE,1716,13564,16104,32662,28964,19,200,29,4,DUO,100,0,BOTTOM,1716,12284,11669,22549,28192,11,25,22,5,SOLO,100,0,UTILITY,1716,8205,12548,17342,20154,60,60,106,6,SOLO,200,1,TOP,1716,15056,17993,29974,39057,24,24,79,7,NONE,200,1,JUNGLE,1716,13960,16368,32115,34928,37,84,8,8,SOLO,200,1,MIDDLE,1716,14713,17808,28583,28123,6,114,67,9,CARRY,200,1,BOTTOM,1716,15554,16625,29706,25054,15,117,16,10,SUPPORT,200,1,UTILITY,1716,9424,14142,7106,20505,35
0,5952193982,EUW1_5952193982,12.12.450.4196,1775,200,50665,60700,10,350,86,1,NONE,100,0,TOP,1775,12162,14970,13882,30027,22,246,33,2,NONE,100,0,JUNGLE,1775,9583,10247,13032,35075,42,48,63,3,SOLO,100,0,MIDDLE,1775,8447,10533,15852,21211,24,30,74,4,CARRY,100,0,BOTTOM,1775,10321,12004,26854,26070,35,114,22,5,SUPPORT,100,0,UTILITY,1775,10152,9684,16086,19611,53,122,516,6,SOLO,200,1,TOP,1775,11055,15596,17382,27003,43,30,121,7,NONE,200,1,JUNGLE,1775,10936,13142,13736,28805,9,38,268,8,SOLO,200,1,MIDDLE,1775,14479,16814,38320,21767,15,555,202,9,CARRY,200,1,BOTTOM,1775,13504,14024,22552,19740,43,111,267,10,SUPPORT,200,1,UTILITY,1775,10726,11818,16096,21136,42
0,1269077755,LA1_1269077755,12.12.450.4196,1660,200,52291,62513,10,50,28,1,NONE,100,0,JUNGLE,1660,11202,10920,18882,28458,15,200,429,2,DUO,100,0,BOTTOM,1660,13172,11161,14826,21914,12,112,518,3,SOLO,100,0,UTILITY,1660,8365,8782,20223,27011,49,48,777,4,DUO,100,0,MIDDLE,1660,10438,11901,22870,28089,31,122,14,5,SOLO,100,0,TOP,1660,9114,12205,16699,42670,52,61,157,6,SOLO,200,1,MIDDLE,1660,13818,15440,21865,26353,30,40,526,7,SOLO,200,1,TOP,1660,14063,15496,27311,25683,67,25,234,8,NONE,200,1,JUNGLE,1660,15336,13329,40159,41498,27,111,498,9,CARRY,200,1,BOTTOM,1660,11195,12503,26340,21818,22,131,497,10,SUPPORT,200,1,UTILITY,1660,8101,10794,6797,16143,30
0,5938440225,EUW1_5938440225,12.12.448.6653,1737,100,62474,55386,10,119,113,1,SOLO,100,1,TOP,1737,14095,15865,17853,27442,34,114,200,2,NONE,100,1,JUNGLE,1737,16465,14939,33689,44175,37,33,777,3,SOLO,100,1,MIDDLE,1737,10977,12542,16416,23171,25,62,81,4,CARRY,100,1,BOTTOM,1737,12496,12950,13931,18722,3,141,350,5,SUPPORT,100,1,UTILITY,1737,8441,12495,8108,9086,18,67,58,6,SOLO,200,0,TOP,1737,11865,13724,15996,36145,16,235,245,7,NONE,200,0,JUNGLE,1737,12191,13283,18228,32404,22,141,157,8,SOLO,200,0,MIDDLE,1737,10818,12556,12882,16298,17,29,221,9,CARRY,200,0,BOTTOM,1737,13826,12973,38342,17212,8,25,117,10,SUPPORT,200,0,UTILITY,1737,6686,9970,2692,12844,29
